categorie_ve,modele_ve,type_de_vehicule,cout_achat,co2_max,cout_de_la_recharge_100km
SUV,Audi e-tron 55 quattro,VE,84200,"0,00","3,93"
SUV,Audi e-tron 50 quattro,VE,71900,"0,00","3,84"
SUV,Audi e-tron Sportback 55,VE,86480,"0,00","3,93"
SUV,Audi e-tron Sportback 50,VE,74900,"0,00","3,84"
Citadine,BMW i3,VE,39950,"0,00","2,51"
SUV,BMW iX3,VE,72950,"0,00","3,00"
Utilitaire,Citroën  Berlingo Electric,VE,27000,"0,00","24,25"
SUV,Citroën e-C4,VE,36100,"0,00","2,74"
Citadine,Citroën AMI,VE,6900,"0,00","1,02"
SUV,Dacia Spring,VE,16990,"0,00","2,16"
SUV,DS 3 Crossback E-Tense,VE,39500,"0,00","2,82"
Citadine,Fiat 500 La Prima,VE,34900,"0,00","2,40"
SUV,Ford Mustang Mach-E SR AWD,VE,56500,"0,00","2,65"
SUV,Ford Mustang Mach-E ER AWD,VE,65500,"0,00","3,00"
SUV,Ford Mustang Mach-E SR RWD,VE,48990,"0,00","2,54"
SUV,Ford Mustang Mach-E ER RWD,VE,56500,"0,00","2,88"
Citadine,Honda-e Advance,VE,38060,"0,00","8,18"
Citadine,Honda e,VE,35060,"0,00","8,18"
Compacte,Hyundai  IONIQ Electric,VE,34900,"0,00","2,13"
SUV,Hyundai  Kona Electric,VE,39900,"0,00","2,26"
SUV,Jaguar I-Pace EV 400,VE,79990,"0,00","3,82"
SUV,Kia e-Niro,VE,41000,"0,00","2,36"
SUV,Kia e-Soul,VE,39990,"0,00","2,40"
SUV,KIA e-Niro 39 kWh,VE,37000,"0,00","5,29"
SUV,Lexus UX 300e,VE,-,"0,00","2,63"
SUV,Mazda MX-30,VE,33900,"0,00","9,50"
SUV,Mercedes EQC 400 4MATIC,VE,78950,"0,00","4,05"
Utilitaire,Mercedes  EQV,VE,72744,"0,00","4,93"
SUV,MG ZS EV,VE,29990,"0,00","7,07"
Citadine,Mini  Cooper SE,VE,37600,"0,00","2,79"
Compacte,Nissan Leaf,VE,33900,"0,00","2,63"
Compacte,Nissan Leaf e+,VE,35800,"0,00","4,68"
Utilitaire,Nissan e-NV200 Evalia,VE,35917,"0,00","3,99"
Utilitaire,Nissan e-NV200 Fourgon,VE,31490,"0,00","12,95"
SUV,Nissan Ariya 87 kWh,VE,-,"0,00","2,44"
SUV,Nissan Ariya 63 kWh,VE,-,"0,00","2,45"
SUV,Nissan Ariya e-4ORCE 87 kWh,VE,-,"0,00","3,04"
SUV,Nissan Ariya e-4ORCE 63 kWh,VE,-,"0,00","2,59"
Citadine,Opel Corsa-e,VE,31300,"0,00","5,04"
SUV,Opel Mokka-e,VE,36100,"0,00","4,29"
Utilitaire,Opel Vivaro-e 50,VE,33220,"0,00","4,34"
Citadine,Peugeot  e-208,VE,32100,"0,00","2,71"
SUV,Peugeot  e-2008,VE,37900,"0,00","2,82"
Utilitaire,Peugeot e-Expert 50,VE,47650,"0,00","0,00"
Berline à hayon,Polestar 2,VE,58900,"0,00","3,28"
Berline,Porsche Taycan 4S,VE,108632,"0,00","4,16"
Berline,Porsche Taycan Turbo,VE,155552,"0,00","4,24"
Berline,Porsche Taycan Turbo S,VE,189152,"0,00","4,05"
Citadine,Renault Zoe ZE50 R110,VE,32300,"0,00","3,02"
Utilitaire,Renault  Kangoo Maxi Z.E,VE,25100,"0,00","9,00"
Utilitaire,Renault Kangoo Z.E,VE,22400,"0,00","7,61"
Citadine,Renault Zoe ZE50 R135,VE,34000,"0,00","3,02"
Citadine,Renault Twingo Electric,VE,21350,"0,00","2,54"
Utilitaire,Renault Master Z.E.,VE,53500,"0,00","0,00"
Citadine,Seat  Mii Electric,VE,21920,"0,00","2,53"
Citadine,Skoda Citigo e iV,VE,21600,"0,00","5,09"
SUV,Skoda Enyaq iV 80,VE,41220,"0,00","3,33"
SUV,Skoda Enyaq iV 60,VE,41220,"0,00","2,71"
SUV,Skoda Enyaq iV 80X,VE,-,"0,00","3,33"
SUV,Skoda Enyaq iV RS,VE,-,"0,00","3,63"
SUV,Skoda Enyaq iV 50,VE,36050,"0,00","4,23"
Citadine,Smart EQ forfour,VE,24150,"0,00","3,56"
Citadine,Smart EQ fortwo,VE,23250,"0,00","3,64"
Cabriolet,Smart EQ fortwo cabrio,VE,29800,"0,00","3,56"
Berline,Tesla Model 3 Grande Autonomie,VE,57800,"0,00","2,46"
Berline,Tesla Model S,VE,91000,"0,00","2,89"
Berline,Tesla Model 3 Autonomie Standard Plus,VE,43800,"0,00","2,19"
SUV,Tesla Model Y Grande Autonomie,VE,63000,"0,00","3,29"
SUV,Tesla Model X ,VE,96700,"0,00","3,35"
Citadine,Volkswagen e-Up,VE,23440,"0,00","2,53"
Compacte,Volkswagen ID.3 45 kWh,VE,-,"0,00","2,94"
Compacte,Volkswagen ID.3 58 kWh,VE,37990,"0,00","2,99"
Compacte,Volkswagen ID.3 77 kWh,VE,48990,"0,00","2,99"
Compacte,Volkswagen e-Golf,VE,33950,"0,00","2,50"
Utilitaire,Volkswagen e-Crafter,VE,54880,"0,00","18,70"
SUV,Volkswagen ID.4,VE,-,"0,00","3,33"
SUV,Volvo  XC40 P8 AWD Recharge,VE,59940,"0,00","3,87"